codigo_acao_orcamentaria	nome_acao_orcamentaria	procv_funcao_no_access_da_camara
1N64	IMPLANTACAO DA ADUTORA PAJEU NOS ESTADOS DE PERNAMBUCO E PARAIBA	Gestão Ambiental
1O12	IMPLANTACAO DO PROJETO PUBLICO DE IRRIGACAO BAIXO ACARAU - 2. ETAPA - COM 4.168 HA NO ESTADO DO CEARA	Agricultura
1O17	IMPLANTACAO DO PERIMETRO DE IRRIGACAO TABULEIRO DE RUSSAS - 2. ETAPA - COM 3.600 HA NO ESTADO DO CEARA	Agricultura
1O21	IMPLANTACAO DO PROJETO PUBLICO DE IRRIGACAO TABULEIROS LITORANEOS DE PARNAIBA - 2. ETAPA - COM 5.985 HA NO ESTADO DO PIAUI	Agricultura
1O25	IMPLANTACAO DO PROJETO PUBLICO DE IRRIGACAO ARARAS NORTE - 2. ETAPA - COM 1.619 HA NO ESTADO DO CEARA	Agricultura
1O28	IMPLANTACAO DO PROJETO PUBLICO DE IRRIGACAO PLATOS DE GUADALUPE - 2. ETAPA - COM 10.632HA NO ESTADO DO PIAUI	Agricultura
1P91	REVITALIZACAO DO PROJETO PUBLICO DE IRRIGACAO RIO FORMOSO, COM 28.500 HA NO ESTADO DO TOCANTINS	Agricultura
1P95	APOIO A ELABORACAO DE PLANOS E PROJETOS DE SANEAMENTO EM MUNICIPIOS COM POPULACAO SUPERIOR A 50 MIL HABITANTES OU INTEGRANTES DE REGIOES METROPOLITANAS OU DE REGIOES INTEGRADAS DE DESENVOLVIMENTO	Saneamento
2000	ADMINISTRACAO DA UNIDADE	Administração
2004	ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES	Legislativa
200D	PARTICIPACAO BRASILEIRA NA UTILIZACAO DE TELESCOPIOS INTERNACIONAIS	Ciência e Tecnologia
200G	CONSTRUCAO, AMPLIACAO E REFORMA DAS INSTALACOES FISICAS DA POLICIA RODOVIARIA FEDERAL	Segurança Pública
2010	ASSISTENCIA PRE-ESCOLAR AOS DEPENDENTES DOS SERVIDORES CIVIS, EMPREGADOS E MILITARES	Legislativa
2011	AUXILIO-TRANSPORTE AOS SERVIDORES CIVIS, EMPREGADOS E MILITARES	Legislativa
2012	AUXILIO-ALIMENTACAO AOS SERVIDORES CIVIS, EMPREGADOS E MILITARES	Legislativa
2012	FORTALECIMENTO E DINAMIZACAO DA AGRICULTURA FAMILIAR	Legislativa
2013	AGRICULTURA IRRIGADA	Administração
2014	AGROPECUARIA SUSTENTAVEL, ABASTECIMENTO E COMERCIALIZACAO	Educação
2015	FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)	Previdência Social
2015	FUNCIONAMENTO DO CONSELHO DE RECURSOS DO SEGURO SOCIAL	Previdência Social
2016	FUNCIONAMENTO DO CONSELHO NACIONAL DE SAUDE	Saúde
2016	POLITICAS PARA AS MULHERES: PROMOCAO DA IGUALDADE E ENFRENTA	Saúde
2017	AVIACAO CIVIL	Administração
2017	COMUNICACAO INSTITUCIONAL	Administração
2018	BIODIVERSIDADE	
2019	INCLUSAO SOCIAL POR MEIO DO BOLSA FAMILIA, DO CADASTRO UNICO	Agricultura
201W	PROMOCAO, PRESERVACAO E GESTAO DOS PATRIMONIOS CULTURAIS E ARTISTICOS DO INSTITUTO DE PESQUISAS JARDIM BOTANICO DO RIO DE JANEIRO	Gestão Ambiental
2020	CIDADANIA E JUSTICA	
2021	CIENCIA, TECNOLOGIA E INOVACAO	
2022	ANALISE DE PROCESSOS CONTRA PRATICAS DESLEAIS E ILEGAIS	Comércio e Serviços
2022	COMBUSTIVEIS	Comércio e Serviços
2023	COMERCIO E SERVICOS	Indústria
2024	COMERCIO EXTERIOR	
2025	COMUNICACOES PARA O DESENVOLVIMENTO, A INCLUSAO E A DEMOCRAC	
2026	CONSERVACAO E GESTAO DE RECURSOS HIDRICOS	Indústria
2027	CULTURA: DIMENSAO ESSENCIAL DO DESENVOLVIMENTO	Indústria
2028	DEFESA AGROPECUARIA	Indústria
2029	DESENVOLVIMENTO REGIONAL E TERRITORIAL	Indústria
2030	EDUCACAO BASICA	
2031	EDUCACAO PROFISSIONAL E TECNOLOGICA	Comércio e Serviços
2031	SERVICOS DE REGISTRO E LEGALIZACAO DE EMPRESAS	Comércio e Serviços
2032	EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUI	Comércio e Serviços
2033	ENERGIA ELETRICA	Indústria
2034	PROMOCAO DA IGUALDADE RACIAL E SUPERACAO DO RACISMO	Indústria
2035	ESPORTE, CIDADANIA E DESENVOLVIMENTO	Indústria
2036	CONTROLE DE VELOCIDADE NA MALHA RODOVIARIA FEDERAL	Transporte
2036	FLORESTAS, PREVENCAO E CONTROLE DO DESMATAMENTO E DOS INCEND	Transporte
2037	CONSOLIDACAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)	
2038	DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA	
2039	GESTAO DA POLITICA ECONOMICA, GARANTIA DA ESTABILIDADE DO SI	Gestão Ambiental
2040	GESTAO DE RISCOS E DE DESASTRES	
2041	GEOLOGIA, MINERACAO E TRANSFORMACAO MINERAL	
2042	PESQUISA E INOVACOES PARA A AGROPECUARIA	
2044	PROMOCAO DOS DIREITOS DA JUVENTUDE	
2045	LICENCIAMENTO E QUALIDADE AMBIENTAL	
2046	OCEANOS, ZONA COSTEIRA E ANTARTICA	
2047	SIMPLIFICACAO DA VIDA DA EMPRESA E DO CIDADAO: BEM MAISSIMPL	
2048	MANUTENCAO E SUPRIMENTO DE MATERIAL AERONAUTICO	Defesa Nacional
2048	MOBILIDADE URBANA E TRANSITO	Defesa Nacional
2049	MORADIA DIGNA	
2050	MUDANCA DO CLIMA	Energia
2050	SERVICOS DE GEOLOGIA E GEOFISICA APLICADOS A PROSPECCAO DE PETROLEO E GAS NATURAL	Energia
2051	OFERTA DE AGUA	
2052	PESCA E AQUICULTURA	
2053	PETROLEO E GAS	
2054	PLANEJAMENTO URBANO	
2055	CURSOS DE ALTOS ESTUDOS DA ESCOLA SUPERIOR DE GUERRA	Defesa Nacional
2055	DESENVOLVIMENTO PRODUTIVO	Defesa Nacional
2056	POLITICA ESPACIAL	
2057	POLITICA EXTERNA	
2058	DEFESA NACIONAL	Judiciária
2059	POLITICA NUCLEAR	Defesa Nacional
2060	COORDENACAO DE POLITICAS DE PREVENCAO, ATENCAO E REINSERCAO	Assistência Social
2061	PREVIDENCIA SOCIAL	Ciência e Tecnologia
2062	PROMOCAO, PROTECAO E DEFESA DOS DIREITOS HUMANOS DE CRIANCAS	
2063	PROMOCAO E DEFESA DOS DIREITOS DE PESSOAS COM DEFICIENCIA	Ciência e Tecnologia
2064	PROMOCAO E DEFESA DOS DIREITOS HUMANOS	
2065	PROTECAO E PROMOCAO DOS DIREITOS DOS POVOS INDIGENAS	
2066	REFORMA AGRARIA E GOVERNANCA FUNDIARIA	Administração
2067	RESIDUOS SOLIDOS	
2068	SANEAMENTO BASICO	Administração
2069	SEGURANCA ALIMENTAR E NUTRICIONAL	Administração
2070	SEGURANCA PUBLICA COM CIDADANIA	
2071	PROMOCAO DO TRABALHO DECENTE E ECONOMIA SOLIDARIA	
2072	TRANSPORTE FERROVIARIO	
2073	TRANSPORTE HIDROVIARIO	
2074	TRANSPORTE MARITIMO	Administração
2075	TRANSPORTE RODOVIARIO	Administração
2076	DESENVOLVIMENTO E PROMOCAO DO TURISMO	Administração
2077	AGROPECUARIA SUSTENTAVEL	Administração
2078	CONSERVACAO E USO SUSTENTAVEL DA BIODIVERSIDADE	Administração
2079	DESENVOLVIMENTO DA INDUSTRIA, COMERCIO E SERVICOS	Administração
2080	EDUCACAO DE QUALIDADE PARA TODOS	
2081	JUSTICA, CIDADANIA E SEGURANCA PUBLICA	Administração
2082	POLITICA EXTERNA	
2083	QUALIDADE AMBIENTAL	
2084	RECURSOS HIDRICOS	Administração
2085	REDUCAO DO IMPACTO SOCIAL DO ALCOOL E OUTRAS DROGAS: PREVENC	Administração
2086	TRANSPORTE AQUAVIARIO	Administração
2087	TRANSPORTE TERRESTRE	Administração
2088	CONCESSAO E REGULACAO DOS SERVICOS E DA EXPLORACAO DA INFRAESTRUTURA DO TRANSPORTE AQUAVIARIO	Transporte
2089	GESTAO DO SISTEMA DE INFORMACOES BANCO CENTRAL DO BRASIL - SISBACEN	Administração
2090	FISCALIZACAO DOS SERVICOS E DA EXPLORACAO DA INFRAESTRUTURA DO TRANSPORTE AQUAVIARIO	Transporte
2095	FOMENTO A PROJETOS DE IMPLANTACAO, RECUPERACAO E MODERNIZACAO DA INFRAESTRUTURA DE PESQUISA DAS INSTITUICOES PUBLICAS (CT-INFRA)	Ciência e Tecnologia
2098	FORMULACAO E GERENCIAMENTO DA POLITICA MONETARIA, CAMBIAL E DE CREDITO	Administração
20A9	APOIO A INICIATIVAS DE USO PRODUTIVO DE ENERGIA ELETRICA	Energia
20AA	APOIO A CENTROS DE REFERENCIA EM DESENVOLVIMENTO TECNOLOGICO NA AREA DE ENERGIA	Energia
20AB	INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA	Saúde
20AC	INCENTIVO FINANCEIRO AS ACOES DE VIGILANCIA, PREVENCAO E CONTROLE DAS DST/AIDS E HEPATITES VIRAIS	Saúde
20AD	PISO DE ATENCAO BASICA VARIAVEL - SAUDE DA FAMILIA	Saúde
20AE	PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE	Saúde
20AF	APOIO AO CONTROLE DE QUALIDADE DA AGUA PARA CONSUMO HUMANO PARA PREVENCAO E CONTROLE DE DOENCAS E AGRAVOS	Saúde
20AG	APOIO A GESTAO DOS SISTEMAS DE SANEAMENTO BASICO EM MUNICIPIOS DE ATE 50.000 HABITANTES	Saúde
20AH	ORGANIZACAO DOS SERVICOS DE ASSISTENCIA FARMACEUTICA NO SUS	Saúde
20AI	AUXILIO-REABILITACAO PSICOSSOCIAL AOS EGRESSOS DE LONGAS INTERNACOES PSIQUIATRICAS NO SISTEMA UNICO DE SAUDE (DE VOLTA PRA CASA)	Saúde
20AL	INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE	Saúde
20AM	IMPLEMENTACAO DE PROJETOS DE COLETA E RECICLAGEM DE MATERIAIS	Saúde
20AP	SERVICOS DE AUDITORIA E CONTROLE	Indústria
20AQ	MANUTENCAO DE COLECOES BIOLOGICAS DA CIENCIA E DA SAUDE NO BRASIL	Saúde
20B0	ESTRUTURACAO DA ATENCAO ESPECIALIZADA EM SAUDE MENTAL	Saúde
20B1	SERVICOS DE ATENCAO A SAUDE DAS PESSOAS PRIVADAS DE LIBERDADE NO SISTEMA PRISIONAL	Saúde
20B5	FORTALECIMENTO DO SISTEMA PUBLICO DE RADIODIFUSAO E COMUNICACAO	Comunicações
20B9	ESTUDOS PARA O PLANEJAMENTO DO SETOR PORTUARIO - PAC	Transporte
20CT	CAPACITACAO DE AGENTES PARA O SISTEMA DE COMUNICACAO DE GOVERNO DO PODER EXECUTIVO FEDERAL - SICOM	Administração
20D5	GERENCIAMENTO DAS RELACOES INSTITUCIONAIS DO GOVERNO	Administração
20D8	PREPARACAO E ORGANIZACAO DOS JOGOS OLIMPICOS E PARAOLIMPICOS RIO 2016 E GESTAO DO LEGADO ESPORTIVO	Desporto e Lazer
20DA	CADASTRO NACIONAL DE ENDERECOS PARA FINS ESTATISTICOS	Administração
20DB	APOIO A REALIZACAO DA COPA DO MUNDO FIFA 2014	Desporto e Lazer
20DS	MANUTENÇÃO DE TRECHOS RODOVIÁRIOS - NO ESTADO DE RORAIMA	Transporte
20EE	APOIO A IMPLANTACAO, GESTAO E MANUTENCAO DA AUTORIDADE PUBLICA OLIMPICA - APO	Desporto e Lazer
20EI	FUNCIONAMENTO DOS ESCRITORIOS REGIONAIS DA PREVIC	Previdência Social
20EY	ADMINISTRACAO DE PROJETOS PUBLICOS DE IRRIGACAO	Agricultura
20G4	FOMENTO A ESTUDOS, PROJETOS E EMPREENDIMENTOS QUE VISEM A MITIGACAO E A ADAPTACAO A MUDANCA DO CLIMA	Gestão Ambiental
20G8	REESTRUTURACAO DOS SERVICOS AMBULATORIAIS E HOSPITALARES PRESTADOS PELOS HOSPITAIS UNIVERSITARIOS FEDERAIS (FINANCIAMENTO PARTILHADO - REHUF)	Saúde
20GB	MONITORAMENTO E ALERTA DE DESASTRES NATURAIS - CEMADEN	Ciência e Tecnologia
20GD	INCLUSAO PRODUTIVA RURAL	Assistência Social
20GG	PROMOCAO DA INCLUSAO PRODUTIVA DE FAMILIAS EM SITUACAO DE POBREZA	Assistência Social
20GI	FORMACAO DE ESTOQUES PUBLICOS COM PRODUTOS DA AGRICULTURA FAMILIAR - AGF-AF	Agricultura
20GK	FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO	Educação
20GN	EDUCACAO PREVIDENCIARIA E FINANCEIRA	Previdência Social
20HQ	SUSTENTABILIDADE DOS REGIMES PROPRIOS E DO REGIME GERAL DE PREVIDENCIA SOCIAL	Previdência Social
20HR	GESTAO DA INFORMACAO CORPORATIVA NA PREVIDENCIA SOCIAL	Previdência Social
20HT	SISTEMA NACIONAL DE INFORMACOES DE REGISTRO CIVIL - SIRC	Previdência Social
20I2	PROSPECCAO E PESQUISA DE MINERIOS RADIOATIVOS EM TERRITORIO NACIONAL	Ciência e Tecnologia
20I3	DESCOMISSIONAMENTO DE UNIDADES MINERO-INDUSTRIAIS DE MATERIAL RADIOATIVO COM RECUPERACAO DE AREAS DEGRADADAS	Ciência e Tecnologia
20I4	FOMENTO A PESQUISA E DESENVOLVIMENTO EM AREAS BASICAS E ESTRATEGICAS	Ciência e Tecnologia
20I5	SERVICOS CONSULARES E DE ASSISTENCIA A BRASILEIROS NO EXTERIOR	Relações Exteriores
20I7	POLITICA NACIONAL DE JUSTICA	Direitos da Cidadania
20IC	ESTRATEGIA NACIONAL DE SEGURANCA PUBLICA NAS FRONTEIRAS - ENAFRON	Segurança Pública
20ID	APOIO A MODERNIZACAO DAS INSTITUICOES DE SEGURANCA PUBLICA	Segurança Pública
20IE	POLITICA PUBLICA SOBRE DROGAS	Direitos da Cidadania
20IG	APOIO DAS FORCAS ARMADAS AO DESENVOLVIMENTO DO DESPORTO MILITAR E AO ESPORTE NACIONAL	Defesa Nacional
20IH	MODERNIZACAO E REVITALIZACAO DE AERONAVES E SISTEMAS EMBARCADOS	Defesa Nacional
20IT	APERFEICOAMENTO DA DISSEMINACAO DE INFORMACOES DO PBF E DO CADASTRO UNICO.	Assistência Social
20IY	PROMOCAO INTERNACIONAL DE POLITICAS E ACOES DE DESENVOLVIMENTO SOCIAL E COMBATE A FOME	Assistência Social
20JO	PROMOCAO E APOIO AO DESENVOLVIMENTO DO FUTEBOL MASCULINO E FEMININO E DEFESA DOS DIREITOS DO TORCEDOR	Desporto e Lazer
20JP	DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROJETOS E EVENTOS DE ESPORTE, EDUCACAO, LAZER , INCLUSAO SOCIAL E LEGADO SOCIAL	Desporto e Lazer
20JQ	REALIZACAO E APOIO A EVENTOS DE ESPORTE, LAZER E INCLUSAO SOCIAL	Desporto e Lazer
20JT	MANUTENCAO, MODERNIZACAO E AMPLIACAO DA REDE DE ATENDIMENTO DO PROGRAMA DO SEGURO-DESEMPREGO NO AMBITO DO SISTEMA NACIONAL DE EMPREGO - SINE	Trabalho
20JY	MONITORAMENTO, SUPERVISAO E AVALIACAO DAS ACOES DO SISTEMA PUBLICO DE EMPREGO, TRABALHO E RENDA	Trabalho
20K0	DESENVOLVIMENTO TECNOLOGICO E INOVACAO PARA A PREVENCAO E VIGILANCIA DE DOENCAS TRANSMISSIVEIS E NA RESPOSTA AS EMERGENCIAS	Saúde
20K1	ADEQUACAO DE PLATAFORMAS PARA O DESENVOLVIMENTO TECNOLOGICO EM SAUDE	Saúde
20K2	FOMENTO A PESQUISA E DESENVOLVIMENTO DE TECNOLOGIAS ALTERNATIVAS REGIONALIZADAS, COM VISTAS A SUSTENTABILIDADE DOS SERVICOS E ACOES DE SAUDE AMBIENTAL	Saúde
20K3	AVALIACAO E INCORPORACAO DE TECNOLOGIAS DE SAUDE NO AMBITO DO SUS	Saúde
20K4	APOIO AO SISTEMA DE ETICA EM PESQUISA COM SERES HUMANOS	Saúde
20K5	APOIO AO USO DE PLANTAS MEDICINAIS E FITOTERAPICOS NO SUS	Saúde
20K7	APOIO A MODERNIZACAO DO PARQUE PRODUTIVO INDUSTRIAL DA SAUDE	Saúde
20KH	ACOES INTEGRADAS DE CULTURA E EDUCACAO	Cultura
20L6	COORDENACAO DAS ACOES DE GESTAO DO SETOR ELETRICO E INTERCAMBIO ELETROENERGETICO COM PAISES VIZINHOS	Energia
20L7	MONITORAMENTO DA EXPANSAO E DO DESEMPENHO DOS SISTEMAS ELETRICOS BRASILEIROS	Energia
20L8	MONITORAMENTO DAS ACOES DE COMERCIALIZACAO DE ENERGIA E DA POLITICA TARIFARIA	Energia
20L9	INFORMACOES DE ALERTA DE CHEIAS E INUNDACOES	Indústria
20LA	MAPEAMENTO GEOLOGICO-GEOTECNICO EM MUNICIPIOS CRITICOS COM RELACAO A RISCOS GEOLOGICOS	Indústria
20LB	CONSOLIDACAO DO CENTRO DE PESQUISA, DESENVOLVIMENTO E INOVACAO NA AREA DE GEOLOGIA E RECURSOS MINERAIS (CEDES/CPRM)	Indústria
20LC	LEVANTAMENTOS GEOLOGICOS MARINHOS	Indústria
20LD	COOPERACAO TECNICO-CIENTIFICA INTERNACIONAL	Indústria
20LF	ESTUDOS DE INVENTARIO E VIABILIDADE PARA EXPANSAO DA GERACAO HIDRELETRICA	Energia
20LG	ESTUDOS DE EXPANSAO DE TRANSMISSAO DE ENERGIA ELETRICA	Energia
20LH	ESTUDOS PARA EXPANSAO DA MALHA DE GASODUTOS	Energia
20LI	ESTUDOS PARA O PLANEJAMENTO DO SETOR ENERGETICO	Energia
20LJ	MANUTENCAO E OPERACAO DA MALHA FERROVIARIA FEDERAL	Transporte
20LN	MANUTENCAO E OPERACAO DE TERMINAIS HIDROVIARIOS	Transporte
20LO	OPERACAO DAS HIDROVIAS	Transporte
20LU	CONSERVACAO DE ESPECIES	Gestão Ambiental
20LX	AMPLIACAO E CONSOLIDACAO DO SISTEMA NACIONAL DE UNIDADES DE CONSERVACAO DA NATUREZA	Gestão Ambiental
20M4	APOIO A IMPLEMENTACAO DE POLITICAS AGROAMBIENTAIS	Gestão Ambiental
20M6	FOMENTO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL	Gestão Ambiental
20M8	IMPLEMENTACAO DO PLANO DE ACAO PARA PRODUCAO E CONSUMO SUSTENTAVEIS (PPCS)	Gestão Ambiental
20MG	ELABORACAO E IMPLEMENTACAO DE PLANOS, PROJETOS, OBRAS E EQUIPAMENTOS PARA A COLETA SELETIVA DE RESIDUOS SOLIDOS URBANOS	Gestão Ambiental
20MM	PROMOCAO DE ACOES DE GESTAO DE RISCOS, PREPARACAO E ATENDIMENTO A EMERGENCIAS AMBIENTAIS	Gestão Ambiental
20MS	ATENDIMENTO AO VISITANTE DO INSTITUTO DE PESQUISAS JARDIM BOTANICO DO RIO DE JANEIRO.	Gestão Ambiental
20MY	PREVENCAO E COMBATE A INCENDIOS FLORESTAIS EM UNIDADES DE CONSERVACAO FEDERAIS	Gestão Ambiental
20N0	CONCESSAO DE AUTORIZACAO PARA DEMANDAS DE LICENCIAMENTO AMBIENTAL QUE AFETAM UNIDADES DE CONSERVACAO FEDERAIS E SUAS ZONAS DE AMORTECIMENTO	Gestão Ambiental
20N1	FOMENTO A PROJETOS DE CONSERVACAO E MANEJO DA BIODIVERSIDADE	Gestão Ambiental
20N2	MAPEAMENTO DE AREAS DE RISCOS	Segurança Pública
20N4	OPERACAO E MANUTENCAO DE INFRAESTRUTURAS HIDRICAS	Gestão Ambiental
20N7	PROVIMENTO DE INFRAESTRUTURA PRODUTIVA PARA ARRANJOS PRODUTIVOS LOCAIS - APLS - PLANO BRASIL SEM MISERIA	Urbanismo
20N8	PROMOCAO DE INICIATIVAS PARA O APRIMORAMENTO DA PRODUCAO E A INSERCAO MERCADOLOGICA - PLANO BRASIL SEM MISERIA	Indústria
20N9	APOIO AO ASSOCIATIVISMO E AO COOPERATIVISMO - PLANO BRASIL SEM MISERIA	Urbanismo
20NC	OPERACAO E MANUTENCAO DE UNIDADES DE PRODUCAO PARA APOIO AOS ARRANJOS PRODUTIVOS LOCAIS - APLS	Agricultura
20NE	APOIO A PROJETOS DE PESQUISA E CAPACITACAO DE RECURSOS HUMANOS NAS FASES DA CADEIA PRODUTIVA DA PESCA	Agricultura
20NK	ESTRUTURACAO E DINAMIZACAO DE ARRANJOS PRODUTIVOS LOCAIS EM ESPACOS SUB-REGIONAIS	Indústria
20NN	APOIO AO PLANEJAMENTO DE INTERVENCOES ESTRUTURAIS EM MUNICIPIOS CRITICOS A DESASTRES NATURAIS	Urbanismo
20NR	APOIO A ELABORACAO E IMPLEMENTACAO DE PLANOS E PROJETOS URBANOS INTEGRADOS DE REABILITACAO E REQUALIFICACAO DE AREAS URBANAS	Urbanismo
20NV	APOIO A IMPLEMENTACAO DE ACOES DE DESENVOLVIMENTO DO SETOR AGUAS - INTERAGUAS	Saneamento
20NW	APOIO A ESTRUTURACAO E IMPLEMENTACAO DO SISTEMA NACIONAL DE INFORMACOES EM SANEAMENTO BASICO - SINISA	Saneamento
20PY	ADEQUACAO DE ORGANIZACOES MILITARES DO EXERCITO	Defesa Nacional
20Q4	OPERACAO DO CANAL SAUDE	Saúde
20Q7	PRESERVACAO DO PATRIMONIO HISTORICO E CULTURAL DE CIENCIA E DA SAUDE NA FIOCRUZ	Saúde
20Q8	APOIO A IMPLANTACAO E MANUTENCAO DOS SISTEMAS DE SANEAMENTO BASICO E ACOES DE SAUDE AMBIENTAL	Saúde
20QF	PESQUISAS, ENSINO E INOVACOES TECNOLOGICAS BIOMEDICAS E EM MEDICINA TROPICAL E MEIO AMBIENTE	Saúde
20QG	ATUACAO INTERNACIONAL DO MINISTERIO DA SAUDE	Saúde
20QH	IMPLEMENTACAO DA SEGURANCA ALIMENTAR E NUTRICIONAL NA SAUDE	Saúde
20QI	IMPLANTACAO E MANUTENCAO DA FORCA NACIONAL DE SAUDE	Saúde
20QN	GESTAO DE ASSUNTOS INTERNACIONAIS	Administração
20QX	DESENVOLVIMENTO E DIFUSAO DE TECNOLOGIAS, ESTUDOS E PESQUISAS AFINS EM AGRICULTURA IRRIGADA	Agricultura
20R4	APOIO A IMPLEMENTACAO DA REDE CEGONHA	Saúde
20R9	PREVENCAO DE USO E/OU ABUSO DE DROGAS	Direitos da Cidadania
20RF	TECNOLOGIA DA INFORMACAO E COMUNICACAO PARA A EDUCACAO BASICA	Educação
20RG	REESTRUTURACAO E MODERNIZACAO DE INSTITUICOES FEDERAIS DE EDUCACAO PROFISSIONAL E TECNOLOGICA	Educação
20RH	GERENCIAMENTO DAS POLITICAS DE EDUCACAO	Educação
20RI	FUNCIONAMENTO DAS INSTITUICOES FEDERAIS DE EDUCACAO BASICA	Educação
20RJ	APOIO A CAPACITACAO E FORMACAO INICIAL E CONTINUADA PARA A EDUCACAO BASICA	Educação
20RK	FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR	Educação
20RL	FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE EDUCACAO PROFISSIONAL E TECNOLOGICA	Educação
20RM	EXAMES E AVALIACOES DA EDUCACAO BASICA	Educação
20RN	AVALIACAO DA EDUCACAO SUPERIOR E DA POS-GRADUACAO	Educação
20RP	APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA	Educação
20RQ	PRODUCAO, AQUISICAO E DISTRIBUICAO DE LIVROS E MATERIAIS DIDATICOS E PEDAGOGICOS PARA EDUCACAO BASICA	Educação
20RR	INTEGRACAO DA COMUNIDADE NO ESPACO ESCOLAR, PROMOCAO DA SAUDE NA ESCOLA E COMBATE A VIOLENCIA, A DISCRIMINACAO E A VULNERABILIDADE SOCIAL	Educação
20RS	APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA NAS COMUNIDADES DO CAMPO, INDIGENAS, TRADICIONAIS, REMANESCENTES DE QUILOMBO E DAS TEMATICAS DE CIDADANIA, DIREITOS HUMANOS, MEIO AMBIENTE E POLITICAS DE INCLUSAO DOS ALUNOS COM DEFICIENCIA.	Educação
20RT	CERTAMES E TECNOLOGIAS EDUCACIONAIS	Educação
20RU	GESTAO EDUCACIONAL E ARTICULACAO COM OS SISTEMAS DE ENSINO	Educação
20RV	APOIO A MANUTENCAO DA EDUCACAO INFANTIL	Educação
20RW	APOIO A FORMACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA	Educação
20RX	REESTRUTURACAO E MODERNIZACAO DOS HOSPITAIS UNIVERSITARIOS FEDERAIS	Educação
20RZ	ADMINISTRACAO DO FINANCIAMENTO ESTUDANTIL - FIES	Educação
20S9	ADEQUACAO DE ORGANIZACOES MILITARES DA AERONAUTICA	Defesa Nacional
20SA	MANUTENCAO E ADEQUACAO DOS SISTEMAS MILITARES DA AERONAUTICA	Defesa Nacional
20SE	ADEQUACAO DE INSTALACOES DE ORGANIZACOES MILITARES DA MARINHA	Defesa Nacional
20SH	ESTUDOS E PESQUISAS EM MATERIA FAZENDARIA	Administração
20SP	OPERACIONALIZACAO DO SISTEMA NACIONAL DE TRANSPLANTES	Saúde
20SW	FORMACAO E CAPACITACAO DE PROFISSIONAIS DA AVIACAO CIVIL	Transporte
20T4	MANUTENCAO DO CENTRO DE APOIO A SISTEMAS LOGISTICOS DE DEFESA	Defesa Nacional
20T6	FORTALECIMENTO DA SAUDE AMBIENTAL PARA REDUCAO DOS RISCOS A SAUDE HUMANA	Saúde
20TM	COORDENACAO E ARTICULACAO DAS POLITICAS PUBLICAS DE JUVENTUDE	Administração
20TP	ATIVOS CIVIS DA UNIAO	Legislativa
20TR	APOIO FINANCEIRO SUPLEMENTAR A MANUTENCAO DA EDUCACAO INFANTIL	Assistência Social
20TS	DESENVOLVIMENTO SUSTENTAVEL DA ECONOMIA DE PATRIMONIO GENETICO E CONHECIMENTOS TRADICIONAIS ASSOCIADOS E REPARTICAO DE BENEFICIOS	Gestão Ambiental
20TT	PROMOCAO DO DESENVOLVIMENTO DO SETOR DE COMERCIO E SERVICOS	Comércio e Serviços
20TU	MANUTENCAO, DESENVOLVIMENTO E MODERNIZACAO DE SISTEMAS INFORMATIZADOS DE COMERCIO EXTERIOR	Comércio e Serviços
20TV	SERVICOS DE METROLOGIA E QUALIDADE INDUSTRIAL	Indústria
20TW	DISSEMINACAO, ENSINO E PESQUISA EM PROPRIEDADE INTELECTUAL E INOVACAO	Indústria
20TX	GESTAO DA INFRAESTRUTURA DOS DISTRITOS INDUSTRIAL E AGROPECUARIO DE MANAUS	Indústria
20TY	GESTAO DE RISCOS DE SEGURANCA DA INFORMACAO E COMUNICACOES NO AMBITO DO MINISTERIO DO PLANEJAMENTO, ORCAMENTO E GESTAO	Administração
20TZ	DESENVOLVIMENTO SUSTENTAVEL DA MINERACAO	Indústria
20U0	GESTAO E APRIMORAMENTO DO PLANEJAMENTO	Administração
20U1	APERFEICOAMENTO DA GESTAO PUBLICA	Administração
