codigo_acao_orcamentaria	nome_acao_orcamentaria	procv_funcao_no_access_da_camara
00F8	CONTRIBUICAO A SOCIEDADE BRASILEIRA PARA O PROGRESSO DA CIENCIA - SBPC	Encargos Especiais
00FM	ASSISTENCIA MEDICA E ODONTOLOGICA AS POLICIAS CIVIL E MILITAR E AO CORPO DE BOMBEIROS DO DISTRITO FEDERAL	Encargos Especiais
00FS	SUBVENCAO PARCIAL A REMUNERACAO POR CESSAO DE ENERGIA ELETRICA DE ITAIPU (DECRETO N. 7.506, DE 2011)	Encargos Especiais
00G5	CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS DECORRENTE DO PAGAMENTO DE PRECATORIOS E REQUISICOES DE PEQUENO VALOR	Encargos Especiais
00GQ	CONTRIBUICAO AO CENTRO INTERNACIONAL DE LIGACAO DAS ESCOLAS DE CINEMA E TELEVISAO - CILECT (MEC)	Encargos Especiais
00GT	CONTRIBUICAO AO PARLAMENTO DO MERCOSUL - PARLASUL (MRE)	Encargos Especiais
00GW	SUBVENCAO ECONOMICA PARA GARANTIA E SUSTENTACAO DE PRECOS NA COMERCIALIZACAO DE PRODUTOS DA AGRICULTURA FAMILIAR (LEI N. 8.427, DE 1992)	Agricultura
00GY	FINANCIAMENTO IMOBILIARIO PARA O PESSOAL DA MARINHA	Defesa Nacional
00GZ	SUBVENCAO ECONOMICA NAS AQUISICOES DO GOVERNO FEDERAL DE PRODUTOS DA AGRICULTURA FAMILIAR E NA FORMACAO DE ESTOQUES REGULADORES E ESTRATEGICOS - AGF-AF (LEI N. 8.427, DE 1992)	Agricultura
00H0	TRANSFERENCIAS A CONFEDERACAO BRASILEIRA DE CLUBES - CBC E A FEDERACAO NACIONAL DOS CLUBES ESPORTIVOS - FENACLUBES	Encargos Especiais
00H4	SEGURO DESEMPREGO	Trabalho
00H5	BENEFICIOS DE PRESTACAO CONTINUADA (BPC) A PESSOA IDOSA E DA RENDA MENSAL VITALICIA (RMV) POR IDADE	Assistência Social
00H6	TRANSFERENCIA DO IMPOSTO SOBRE OPERACOES FINANCEIRAS INCIDENTES SOBRE O OURO (LEI N. 7.766, DE 1989)	Encargos Especiais
00H9	CONTRIBUICAO AO FUNDO MERCOSUL CULTURAL - FMC (MINC)	Encargos Especiais
00HB	CONTRIBUICAO AO INSTITUTO INTERNACIONAL DA LINGUA PORTUGUESA - IILP (MRE)	Encargos Especiais
00HC	CONTRIBUICAO A SECRETARIA DO TRIBUNAL PERMANENTE DE REVISAO DO MERCOSUL - TPR (MRE)	Encargos Especiais
00HD	CONTRIBUICAO AO ALTO REPRESENTANTE-GERAL DO MERCOSUL - ARGM (MRE)	Encargos Especiais
00HE	CONTRIBUICAO VOLUNTARIA AO TRATADO INTERNACIONAL SOBRE RECURSOS FITOGENETICOS PARA A ALIMENTACAO E AGRICULTURA - TIRFAA (MRE)	Encargos Especiais
00HF	CONTRIBUICAO A UNIAO DAS NACOES SUL-AMERICANAS - UNASUL (MRE)	Encargos Especiais
00HH	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO ESPIRITO SANTO - CONSTRUCAO DE BERCOS NOS DOLFINS DO ATALAIA COM RETROAREA NO PORTO DE VITORIA (ES)	Encargos Especiais
00HO	CONCESSAO DE BOLSA EDUCACAO ESPECIAL AOS DEPENDENTES DOS MILITARES DAS FORCAS ARMADAS, FALECIDOS NO HAITI ( LEI N. 12.257, DE 15 DE JUNHO DE 2010)	Encargos Especiais
00HT	PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO ESTADO DE SAO PAULO - REFORCO DE CAIS PARA APROFUNDAMENTO DOS BERCOS ENTRE OS ARMAZENS 12A A 23 NO PORTO DE SANTOS (SP)	Encargos Especiais
00HY	CONTRIBUICAO VOLUNTARIA AO FUNDO PARA A CONVERGENCIA ESTRUTURAL DO MERCOSUL - FOCEM VOLUNTARIO (MRE)	Encargos Especiais
